,url,Marke,Model,Kilometerstand,Antrieb,Baujahr,Motorleistung,Preis,Sitzplätze,Türen,Hubraum,Außenfarbe
81,https://www.autoscout24.de/angebote/audi-rs7-4-0-tfsi-sportback-acc-hud-softc-gsd-massage-benzin-grau-d688e218-7d2f-481d-a165-52c6472ef0ac,Audi, RS7 ,139800,Automatik,2014,412,40990.0,4,4,3993,Grau
82,https://www.autoscout24.de/angebote/audi-q3-2-0-tdi-quattro-klima-diesel-schwarz-7ce57eaf-2357-4ff4-812f-4acf6548f5f0,Audi, Q3 ,122500,Schaltgetriebe,2013,103,12950.0,5,5,1968,Schwarz
83,https://www.autoscout24.de/angebote/audi-q3-sportback-tfsi-s-line-pano-led-19-3533-benzin-weiss-b1bdb097-d2a5-4c18-92a2-5b205d483668,Audi, Q3 ,109050,Automatik,2020,110,32990.0,5,4,1498,Weiß
84,https://www.autoscout24.de/angebote/audi-q3-2-0-tdi-navi-19zoll-pdc-led-keyless-entry-diesel-schwarz-e1f36fa0-431e-4260-be92-9b86a142a325,Audi, Q3 ,140000,Schaltgetriebe,2013,103,13490.0,5,5,1968,Schwarz
85,https://www.autoscout24.de/angebote/audi-s8-4-0-tfsi-quattro-carbon-sthz-b-o-abt-power-benzin-schwarz-0950c09e-d59f-4912-8c4a-f1ee351b0c1a,Audi, S8 ,1327,Automatik,2023,515,145970.0,5,4,3996,Schwarz
86,https://www.autoscout24.de/angebote/audi-q2-1-4-tfsi-benzin-schwarz-dd78f09e-2f05-4deb-81ff-f82cd4d37cab,Audi, Q2 ,114545,Automatik,km),110,19990.0,5,5,nan,Schwarz
87,https://www.autoscout24.de/angebote/audi-s6-lim-v6-tdi-quattro-s-sitze-optik-paket-luft-b-o-diesel-weiss-8b908f93-c3e2-41e7-b025-99ebcbd7c293,Audi, S6 ,57000,Automatik,2019,257,52470.0,4,4,2967,Weiß
88,https://www.autoscout24.de/angebote/audi-a6-3-0-50-tdi-qu-s-tronic-s-line-pano-led-leder-elektro-diesel-grau-c872a3e1-ecd4-4e81-833b-a449421e1686,Audi, A6 ,112000,Automatik,Diesel,210,33990.0,5,4,2967,Grau
89,https://www.autoscout24.de/angebote/audi-sq7-4-0-tdi-qut-pano-virt-hud-acc-7-sitze-diesel-weiss-2c9d6ad5-3c41-4b1d-b41c-59335c827784,Audi, SQ7 ,173800,Automatik,2017,320,47990.0,7,4,3956,Weiß
90,https://www.autoscout24.de/angebote/audi-a5-coupe-3-0-tdi-quattro-navi-acc-xenon-b-o-shz-diesel-weiss-1deab2f9-4831-4111-890f-2ff11aefd30e,Audi, A5 ,55900,Automatik,2015,160,25990.0,4,2,2967,Weiß
91,https://www.autoscout24.de/angebote/audi-q5-2-0-tdi-aut-s-line-nav-xen-ahk-20zo-shz-2hd-diesel-blau-5e885283-bb0d-4b76-bfa9-52efa0f1b22b,Audi, Q5 ,116450,Automatik,2017,140,24749.0,5,5,1968,Blau
